,Award,Year,Type,Recipient,Category
363,MTV Video Music Awards,2022,"""Willow""",Best Direction,Song
364,MTV Video Music Awards,2022,"""Willow""",Best Long Form Video,Song
365,MTV Video Music Awards,2022,"""Willow""",Video of the Year,Song
366,MTV Video Music Awards,2023,"""Willow""",Video of the Year,Song
367,MTV Video Music Awards,2023,"""Willow""",Song of the Year,Song
368,MTV Video Music Awards,2023,"""Willow""",Best Pop,Song
369,MTV Video Music Awards,2023,"""Willow""",Best Direction,Song
370,MTV Video Music Awards,2023,"""Willow""",Best Cinematography,Song
371,MTV Video Music Awards,2023,"""Willow""",Best Visual Effects,Song
372,MTV Video Music Awards,2023,Swift,Best Visual Effects,Artist
373,MTV Video Music Awards,2023,Swift,Show of the Summer,Artist
374,MTV Video Music Awards,2023,Midnights,Show of the Summer,Album
375,MTV Movie & TV Awards,2023,Valentine's Day,Best Kiss (with Taylor Lautner),Album
376,MTV Video Music Awards Japan,2019,"""Mine""",Best Karaoke Video,Song
377,MTV Millennial Awards,2013,"""We Are Never Ever Getting Back Together""",Catchiest Hit of the Year,Song
378,MTV Millennial Awards,2017,"""Blank Space""",Catchiest Hit of the Year,Song
379,MTV Millennial Awards Brazil,2018,"""Look What You Make Me Do""",Swift and Katy Perry,Song
380,MTVU Woodie Awards,2015,"""Riptide"" (Vance Joy)",Best Cover Woodie,Song
381,Much Music Video Awards,2013,Swift,Your Fave International Video,Artist
382,Music Business Association Awards,2010,Swift,Artist of the Year,Artist
383,MusicDaily Awards,2021,Swift,Best Artist,Artist
384,Myx Music Awards,2010,"""Love Story""",Favorite International Video,Song
385,Myx Music Awards,2015,"""Love Story""",Favorite International Video,Song
386,Myx Music Awards,2016,"""Love Story""",Favorite International Video,Song
387,Nashville Songwriter Awards ,2007,Swift[c],Songwriter-Artist of the Year,Album
388,Nashville Songwriter Awards ,2009,Swift[c],Songwriter-Artist of the Year,Album
389,Nashville Songwriter Awards ,2010,Swift[c],Songwriter-Artist of the Year,Album
390,Nashville Songwriter Awards ,2011,Swift[c],Songwriter-Artist of the Year,Album
391,Nashville Songwriter Awards ,2012,Swift[c],Songwriter-Artist of the Year,Album
392,Nashville Songwriter Awards ,2013,Swift[c],Songwriter-Artist of the Year,Album
393,Nashville Songwriter Awards ,2015,Swift[c],Songwriter-Artist of the Year,Album
394,Nashville Songwriter Awards ,2015,"""Shake It Off""",Songwriter-Artist of the Year,Song
395,Nashville Songwriter Awards ,2017,"""Shake It Off""",Songwriter-Artist of the Year,Song
396,Nashville Songwriter Awards ,2020,"""Shake It Off""",Songwriter-Artist of the Year,Song
397,Nashville Songwriter Awards ,2021,"""Shake It Off""",Songwriter-Artist of the Year,Song
398,Nashville Songwriter Awards ,2021,"""Willow""",Songwriter-Artist of the Year,Song
399,Nashville Songwriter Awards ,2022,"""Willow""",Songwriter-Artist of the Year,Song
400,Nashville Songwriter Awards ,2023,"""Willow""",Songwriter-Artist of the Year,Song
401,Nashville Symphony Ball,2011,Swift,Harmony Award,Artist
402,National Music Publishers' Association,2011,Swift,National Music Publishers' Association,Artist
403,NetEase Annual Music Awards,2020,Swift,Top Western Act,Artist
404,NetEase Annual Music Awards,2020,Folklore,Top Western Act,Album
405,NetEase Annual Music Awards,2020,Folklore,Top Folk Music Album,Album
406,NetEase Annual Music Awards,2022,Folklore,Top Folk Music Album,Album
407,NetEase Annual Music Awards,2023,Folklore,Top Folk Music Album,Album
408,Nickelodeon Kids' Choice Awards,2010,Swift,Favorite Female Singer,Artist
409,Nickelodeon Kids' Choice Awards,2010,"""You Belong with Me""",Favorite Female Singer,Song
410,Nickelodeon Kids' Choice Awards,2012,Swift,Favorite Female Singer,Artist
411,Nickelodeon Kids' Choice Awards,2019,"""Look What You Made Me Do""",Favorite Global Music Star,Song
412,Nickelodeon Kids' Choice Awards,2020,Swift,Favorite Global Music Star,Artist
413,Nickelodeon Kids' Choice Awards,2023,"""All Too Well (10 Minute Version)""",Red (Taylor's Version),Song
414,Nickelodeon Kids' Choice Awards,2023,Swift,Red (Taylor's Version),Artist
415,Nickelodeon Kids' Choice Awards,2023,Swift,Olivia Benson,Artist
416,Nickelodeon Mexico Kids' Choice Awards,2023,Swift,Favorite International Artist or Group,Artist
417,NME Awards,2016,Swift,Best International Solo Artist,Artist
418,NME Awards,2020,"""Look What You Made Me Do""",Best International Solo Artist,Song
419,NME Awards,2022,"""Look What You Made Me Do""",Best International Solo Artist,Song
420,Northwest Tennessee Disaster Services,2012,Swift,Honorary Star of Compassion,Artist
421,NRJ Music Awards,2015,Swift,International Female Artist of the Year,Artist
422,NRJ Music Awards,2015,"""Bad Blood"" (featuring Kendrick Lamar)",International Female Artist of the Year,Song
423,O Music Awards ,2012,Swift,Most Extreme Fan Outreach,Artist
424,OFM Music Awards,2015,1989,Album of the Year,Album
425,People's Choice Awards ,2010,Swift,Favorite Country Song,Artist
426,People's Choice Awards ,2011,Swift,Favorite Country Artist,Artist
427,People's Choice Awards ,2012,Swift,Favorite Country Artist,Artist
428,People's Choice Awards ,2013,Swift,Favorite Country Artist,Artist
429,People's Choice Awards ,2014,Swift,Favorite Country Artist,Artist
430,People's Choice Awards ,2015,Swift,Favorite Country Artist,Artist
431,People's Choice Awards ,2015,Swift,Favorite Country Artist,Artist
432,People's Choice Awards ,2015,Swift,Favorite Pop Artist,Artist
433,People's Choice Awards ,2016,Swift,Favorite Pop Artist,Artist
434,People's Choice Awards ,2016,Swift,Favorite Pop Artist,Artist
435,People's Choice Awards ,2018,Swift,Favorite Social Media Celebrity,Artist
436,People's Choice Awards ,2019,Swift,Social Celebrity of the Year,Artist
437,People's Choice Awards ,2020,"""Only the Young""",Female Artist of the Year,Song
438,People's Choice Awards ,2022,"""Only the Young""",Female Artist of the Year,Song
439,People's Choice Awards ,2022,"""Anti-Hero""",Female Artist of the Year,Song
440,People's Choice Awards ,2022,Swift,Female Artist of the Year,Artist
441,People's Choice Awards ,2024,Swift,Female Artist of the Year,Artist
442,People's Choice Awards ,2024,Swift,Pop Artist of the Year,Artist
443,People's Choice Awards ,2024,Swift,Social Celebrity of the Year,Artist
444,People's Choice Awards ,2024,Swift,The Eras Tour,Artist
445,Pollstar Awards,2019,Reputation Stadium Tour,Best Pop Tour,Album
446,Pollstar Awards,2024,Reputation Stadium Tour,Pop Touring Artist of the Decade,Album
447,Pollstar Awards,2024,Reputation Stadium Tour,AMC x Taylor Swift: The Eras Tour Theatrical Exhibition,Album
448,Popstar! Poptastic Awards,2010,Swift,Favorite Female Singer,Artist
449,Premios MUSA,2023,Swift,International Anglophone Artist of the Year,Artist
450,Primetime Emmy Awards,2015,AMEX Unstaged: Taylor Swift Experience,Outstanding Creative Achievement in Interactive Media — Original Interactive Program,Album
451,Q Awards ,2018,Swift,Best Solo Artist,Artist
452,Radio Disney Music Awards ,2013,"""I Knew You Were Trouble""",Song of the Year,Song
453,Radio Disney Music Awards ,2013,"""We Are Never Ever Getting Back Together""",Song of the Year,Song
454,Radio Disney Music Awards ,2014,Swift,Song of the Year,Artist
455,Radio Disney Music Awards ,2014,Swift,Song of the Year,Artist
456,Radio Disney Music Awards ,2015,Swift,Best Song to Dance To,Artist
457,Radio Disney Music Awards ,2016,Swift,Most Talked About Artist,Artist
458,Radio Disney Music Awards ,2016,Swift,Best Breakup Song,Artist
459,Radio Disney Music Awards ,2016,Swift,Most Talked About Artist,Artist
460,RFK Human Rights Ripple of Hope Awards,2012,Swift,Ripple of Hope Award,Artist
461,RTHK International Pop Poll Awards,2013,"""We Are Never Ever Getting Back Together""",Top Ten International Gold Songs,Song
462,RTHK International Pop Poll Awards,2013,Red,Top Ten International Gold Songs,Album
463,RTHK International Pop Poll Awards,2015,Swift,Top Ten International Gold Songs,Artist
464,RTHK International Pop Poll Awards,2015,Swift,Super Gold Song,Artist
465,RTHK International Pop Poll Awards,2015,1989,Super Gold Song,Album
466,RTHK International Pop Poll Awards,2016,Swift,Super Gold Song,Artist
467,RTHK International Pop Poll Awards,2018,Swift,Super Gold Song,Artist
468,RTHK International Pop Poll Awards,2018,Reputation,Super Gold Song,Album
469,RTHK International Pop Poll Awards,2020,Swift,Super Gold Song,Artist
470,RTHK International Pop Poll Awards,2020,Lover,Super Gold Song,Album
471,RTHK International Pop Poll Awards,2021,Swift,Super Gold Song,Artist
472,RTHK International Pop Poll Awards,2021,Swift,Super Gold Song,Artist
473,RTHK International Pop Poll Awards,2022,Swift,Super Gold Song,Artist
474,RTHK International Pop Poll Awards,2023,Swift,Super Gold Song,Artist
475,RTHK International Pop Poll Awards,2023,Swift,Super Gold Song,Artist
476,RTHK International Pop Poll Awards,2023,Midnights,Super Gold Song,Album
477,Shorty Awards,2015,Swift,Best Singer,Artist
478,Shorty Awards,2016,Swift,Best Singer,Artist
479,SiriusXM Indie Awards,2009,Fearless,Favourite International Single,Album
480,SiriusXM Indie Awards,2011,Swift,Favourite International Single,Artist
481,SiriusXM Indie Awards,2013,Speak Now,Favourite International Single,Album
482,Songwriters Hall of Fame,2010,Swift,Hal David Starlight Award,Artist
483,Teen Choice Awards,2008,Swift,Choice Breakout Artist,Artist
484,Teen Choice Awards,2009,Swift,Choice Breakout Artist,Artist
485,Teen Choice Awards,2009,Fearless,Choice Breakout Artist,Album
486,Teen Choice Awards,2010,Swift,Choice Liplock,Artist
487,Teen Choice Awards,2010,Swift,Choice Female Country Artist,Artist
488,Teen Choice Awards,2010,"""Fifteen""",Choice Female Country Artist,Song
489,Teen Choice Awards,2010,Fearless,Choice Female Country Artist,Album
490,Teen Choice Awards,2011,Fearless,Choice Female Country Artist,Album
491,Teen Choice Awards,2011,Fearless,Choice Female Artist,Album
492,Teen Choice Awards,2011,Fearless,Choice Female Country Artist,Album
493,Teen Choice Awards,2011,Fearless,Ultimate Choice,Album
494,Teen Choice Awards,2011,"""Mean""",Ultimate Choice,Song
495,Teen Choice Awards,2011,"""Back to December""",Ultimate Choice,Song
496,Teen Choice Awards,2012,"""Mine""",Ultimate Choice,Song
497,Teen Choice Awards,2012,"""Mine""",Choice Female Country Artist,Song
498,Teen Choice Awards,2012,"""Mine""",The Lorax,Song
499,Teen Choice Awards,2012,"""Eyes Open""",The Lorax,Song
500,Teen Choice Awards,2012,"""Sparks Fly""",The Lorax,Song
501,Teen Choice Awards,2013,"""Sparks Fly""",Choice Female Country Artist,Song
502,Teen Choice Awards,2013,"""We Are Never Ever Getting Back Together""",Choice Smile,Song
503,Teen Choice Awards,2014,"""Red Tour""",Choice Female Country Artist,Song
504,Teen Choice Awards,2015,"""Red Tour""",Choice Summer Music Star: Female,Song
505,Teen Choice Awards,2015,"""Red Tour""",Choice Twit,Song
506,Teen Choice Awards,2015,"""Bad Blood"" (featuring Kendrick Lamar)",Choice Twit,Song
507,Teen Choice Awards,2015,"""Bad Blood"" (featuring Kendrick Lamar)",Choice Music Collaboration,Song
508,Teen Choice Awards,2019,Swift,Reputation Stadium Tour,Artist
509,Telehit Awards,2013,Red,Best Female Pop Album,Album
510,Telehit Awards,2015,Red,Best Female Pop Album,Album
511,Telehit Awards,2015,"""Bad Blood"" (featuring Kendrick Lamar)",Best Female Pop Album,Song
512,Tencent Music Entertainment Awards,2020,Swift,Best Foreign Artist,Artist
513,Tencent Music Entertainment Awards,2021,Swift,Best Foreign Artist,Artist
514,Tencent Music Entertainment Awards,2023,Swift,Best Foreign Artist,Artist
515,Ticketmaster Awards,2018,Swift,Artist of the Year,Artist
516,Ticketmaster Awards,2019,Swift,Artist of the Year,Artist
517,UK Music Video Awards ,2015,"""Bad Blood"" (featuring Kendrick Lamar)",Best Pop Video – International,Song
518,UK Music Video Awards ,2015,"""Bad Blood"" (featuring Kendrick Lamar)",Best Styling,Song
519,V Chart Awards ,2013,Swift,Favorite Artist of the Year (Western),Artist
520,V Chart Awards ,2014,Swift,Favorite Artist of the Year (Western),Artist
521,V Chart Awards ,2015,Swift,Favorite Artist of the Year (Western),Artist
522,V Chart Awards ,2015,Swift,Favorite Artist of the Year (Western),Artist
523,V Chart Awards ,2015,Swift,Top Female Artist (Western),Artist
524,V Chart Awards ,2016,Swift,Top Female Artist (Western),Artist
525,V Chart Awards ,2017,Swift,Top Female Artist (Western),Artist
526,V Chart Awards ,2017,Swift,Top Female Artist (Western),Artist
527,Weibo Starlight Awards,2019,Swift,Most Influential Musician (Western),Artist
528,Weibo Starlight Awards,2021,Swift,Most Influential Musician (Western),Artist
529,Weibo Starlight Awards,2021,Swift,Western Hall of Fame Award,Artist
530,Young Hollywood Awards ,2008,Swift,Superstar of Tomorrow,Artist
531,YouTube Music Awards,2013,"""I Knew You Were Trouble""",YouTube Phenomenon,Song
532,YouTube Music Awards,2015,"""I Knew You Were Trouble""",YouTube Phenomenon,Song
533,Žebřík Music Awards ,2023,Swift,Foreign Female Artist of the Year,Artist
